product_id,name,category,subcategory,price,cost,stock_quantity,is_active,created_at
PROD-058,Card Game Uno,Toys,Card Games,7.99,2.5,77,True,2023-01-01 00:00:00
PROD-059,Magnetic Drawing Board,Toys,Educational,19.99,7.0,371,True,2023-01-01 00:00:00
PROD-060,Science Experiment Kit,Toys,Educational,34.99,13.0,341,True,2023-01-01 00:00:00
PROD-061,Face Moisturizer SPF 30,Beauty,Skincare,29.99,11.0,461,True,2023-01-01 00:00:00
PROD-062,Shampoo Argan Oil,Beauty,Haircare,19.99,7.0,372,True,2023-01-01 00:00:00
PROD-063,Electric Toothbrush,Beauty,Oral Care,49.99,20.0,183,True,2023-01-01 00:00:00
PROD-064,Perfume Floral 50ml,Beauty,Fragrance,59.99,22.0,483,True,2023-01-01 00:00:00
PROD-065,Makeup Brush Set 12pc,Beauty,Makeup,24.99,9.0,205,True,2023-01-01 00:00:00
PROD-066,Vitamin C Serum,Beauty,Skincare,34.99,13.0,162,True,2023-01-01 00:00:00
PROD-067,Hair Dryer 1875W,Beauty,Haircare,44.99,17.0,452,True,2023-01-01 00:00:00
PROD-068,Sunscreen SPF 50+,Beauty,Skincare,19.99,7.0,185,True,2023-01-01 00:00:00
PROD-069,Lip Balm Set 6-Pack,Beauty,Lip Care,12.99,4.5,38,True,2023-01-01 00:00:00
PROD-070,Nail Polish Set 20 Colors,Beauty,Nails,22.99,8.0,234,True,2023-01-01 00:00:00
PROD-071,Organic Coffee Beans 1kg,Food & Grocery,Coffee & Tea,24.99,9.0,397,True,2023-01-01 00:00:00
PROD-072,Green Tea Matcha 100g,Food & Grocery,Coffee & Tea,19.99,7.0,94,True,2023-01-01 00:00:00
PROD-073,Protein Bars Variety 24-Pack,Food & Grocery,Snacks,34.99,13.0,231,True,2023-01-01 00:00:00
PROD-074,Olive Oil Extra Virgin 1L,Food & Grocery,Oils & Vinegars,19.99,7.0,64,True,2023-01-01 00:00:00
PROD-075,Dark Chocolate 72% 3-Pack,Food & Grocery,Confectionery,14.99,5.0,343,True,2023-01-01 00:00:00
PROD-076,Granola Bars Oat 12-Pack,Food & Grocery,Snacks,12.99,4.5,237,True,2023-01-01 00:00:00
PROD-077,Honey Raw Organic 500g,Food & Grocery,Sweeteners,17.99,7.0,165,True,2023-01-01 00:00:00
PROD-078,Mixed Nuts Roasted 500g,Food & Grocery,Snacks,22.99,8.5,113,True,2023-01-01 00:00:00
PROD-079,Vitamin D3 Supplement 90ct,Food & Grocery,Supplements,19.99,7.0,282,True,2023-01-01 00:00:00
PROD-080,Whey Protein Powder 1kg,Food & Grocery,Supplements,49.99,20.0,334,True,2023-01-01 00:00:00
PROD-081,USB Hub 7-Port,Electronics,Accessories,29.99,11.0,470,True,2023-01-01 00:00:00
PROD-082,Desk Lamp LED Adjustable,Home & Garden,Lighting,39.99,15.0,218,True,2023-01-01 00:00:00
PROD-083,Running Belt Waist Pack,Sports & Outdoors,Accessories,17.99,6.5,80,True,2023-01-01 00:00:00
PROD-084,Cookbook: 30-Minute Meals,Books,Cooking,29.99,11.0,416,True,2023-01-01 00:00:00
PROD-085,Dart Board Set,Toys,Games,39.99,15.0,314,True,2023-01-01 00:00:00
PROD-086,Face Wash Gentle Foam,Beauty,Skincare,17.99,6.5,350,True,2023-01-01 00:00:00
PROD-087,Trail Mix Variety 6-Pack,Food & Grocery,Snacks,19.99,7.5,48,True,2023-01-01 00:00:00
PROD-088,Portable Bluetooth Speaker,Electronics,Audio,49.99,20.0,156,True,2023-01-01 00:00:00
PROD-089,Hand Weights 5lb Pair,Sports & Outdoors,Fitness,24.99,9.0,383,True,2023-01-01 00:00:00
PROD-090,Photo Book DIY Kit,Toys,Arts & Crafts,27.99,10.0,416,True,2023-01-01 00:00:00
PROD-091,Face Mask Sheet 10-Pack,Beauty,Skincare,15.99,5.5,217,True,2023-01-01 00:00:00
PROD-092,Coffee Mug Ceramic 16oz,Home & Garden,Kitchen,14.99,5.0,402,True,2023-01-01 00:00:00
PROD-093,Plant-Based Protein 500g,Food & Grocery,Supplements,39.99,15.0,420,True,2023-01-01 00:00:00
PROD-094,Ergonomic Chair Cushion,Home & Garden,Furniture,44.99,17.0,193,True,2023-01-01 00:00:00
PROD-095,Crossword Puzzle Book,Books,Puzzles,11.99,4.0,449,True,2023-01-01 00:00:00
PROD-096,Resistance Tube Kit,Sports & Outdoors,Fitness,22.99,8.5,144,True,2023-01-01 00:00:00
PROD-097,Pore Minimizing Toner,Beauty,Skincare,26.99,10.0,119,True,2023-01-01 00:00:00
PROD-098,Instant Oats 1kg,Food & Grocery,Breakfast,9.99,3.5,341,True,2023-01-01 00:00:00
PROD-099,Power Strip 6-Outlet,Electronics,Accessories,19.99,7.0,318,True,2023-01-01 00:00:00
